model_1,prop_handle_1,node_handle_1,model_2,prop_handle_2,node_handle_2
CDA,id,subject,GDC,submitter_id,"['files', 'cases']"
CDA,identifier,subject,GDC,submitter_id,"['files', 'cases']"
CDA,sex,subject,GDC,gender,"['files', 'cases', 'demographic']"
CDA,race,subject,GDC,race,"['files', 'cases', 'demographic']"
CDA,ethnicity,subject,GDC,ethnicity,"['files', 'cases', 'demographic']"
CDA,days_to_birth,subject,GDC,days_to_birth,"['files', 'cases', 'demographic']"
CDA,subject_associated_project,subject,GDC,project_id,"['files', 'cases', 'project']"
CDA,vital_status,subject,GDC,vital_status,"['files', 'cases', 'demographic']"
CDA,days_to_death,subject,GDC,days_to_death,"['files', 'cases', 'demographic']"
CDA,cause_of_death,subject,GDC,cause_of_death,"['files', 'cases', 'demographic']"
CDA,id,subject,PDC,case_submitter_id,"['files', 'cases']"
CDA,identifier,subject,PDC,case_submitter_id,"['files', 'cases']"
CDA,species,subject,PDC,taxon,"['files', 'cases']"
CDA,sex,subject,PDC,gender,"['files', 'cases', 'demographics']"
CDA,race,subject,PDC,race,"['files', 'cases', 'demographics']"
CDA,ethnicity,subject,PDC,ethnicity,"['files', 'cases', 'demographics']"
CDA,days_to_birth,subject,PDC,days_to_birth,"['files', 'cases', 'demographics']"
CDA,subject_associated_project,subject,PDC,project_submitter_id,"['files', 'cases']"
CDA,vital_status,subject,PDC,vital_status,"['cases', 'demographics']"
CDA,days_to_death,subject,PDC,days_to_death,"['files', 'cases', 'demographics']"
CDA,cause_of_death,subject,PDC,cause_of_death,"['files', 'cases', 'demographics']"
CDA,id,subject,IDC,PatientID,['files']
CDA,identifier,subject,IDC,PatientID,['files']
CDA,species,subject,IDC,tcia_species,['files']
CDA,subject_associated_project,subject,IDC,collection_id,['files']
CDA,id,researchsubject,GDC,case_id,"['files', 'cases']"
CDA,identifier,researchsubject,GDC,case_id,"['files', 'cases']"
CDA,member_of_research_project,researchsubject,GDC,project_id,"['files', 'cases', 'project']"
CDA,primary_diagnosis_condition,researchsubject,GDC,disease_type,"['files', 'cases']"
CDA,primary_diagnosis_site,researchsubject,GDC,primary_site,"['files', 'cases']"
CDA,id,researchsubject,PDC,case_id,"['files', 'cases']"
CDA,identifier,researchsubject,PDC,case_id,"['files', 'cases']"
CDA,member_of_research_project,researchsubject,PDC,project_submitter_id,"['files', 'cases']"
CDA,primary_diagnosis_condition,researchsubject,PDC,disease_type,"['files', 'cases']"
CDA,primary_diagnosis_site,researchsubject,PDC,primary_site,"['files', 'cases']"
CDA,id,researchsubject,IDC,PatientID,['files']
CDA,identifier,researchsubject,IDC,PatientID,['files']
CDA,member_of_research_project,researchsubject,IDC,collection_id,['files']
CDA,primary_diagnosis_site,researchsubject,IDC,tcia_tumorLocation,['files']
CDA,id,diagnosis,GDC,diagnosis_id,"['files', 'cases', 'diagnoses']"
CDA,identifier,diagnosis,GDC,diagnosis_id,"['files', 'cases', 'diagnoses']"
CDA,primary_diagnosis,diagnosis,GDC,primary_diagnosis,"['files', 'cases', 'diagnoses']"
CDA,age_at_diagnosis,diagnosis,GDC,age_at_diagnosis,"['files', 'cases', 'diagnoses']"
